Investor.Name,Portfolio.Name,ISIN,MarketValue,Currency
Mock investor,Mock portfolio,XS2079078478,46583274,SEK
Mock investor,Mock portfolio,NO0010860257,200601949,NOK
Mock investor,Mock portfolio,NO0010870900,15480029,USD
Mock investor,Mock portfolio,NO0010858988,200349756,NOK
Mock investor,Mock portfolio,NO0010871270,240934490,NOK
Mock investor,Mock portfolio,NO0010871353,100533220,NOK
Mock investor,Mock portfolio,NO0010860398,270840738,NOK
Mock investor,Mock portfolio,SE0013110814,86254949,SEK
Mock investor,Mock portfolio,NO0010861834,65555458,NOK
Mock investor,Mock portfolio,NO0010861818,150348257,NOK
Mock investor,Mock portfolio,NO0010867948,1775588,USD
Mock investor,Mock portfolio,NO0010861313,110425486,NOK
Mock investor,Mock portfolio,NO0010856164,20521841,NOK
Mock investor,Mock portfolio,NO0010853096,416090750,NOK
Mock investor,Mock portfolio,NO0010847080,100862266,NOK
Mock investor,Mock portfolio,NO0010811318,33463553,NOK
Mock investor,Mock portfolio,US65559D2A65,11910494,USD
Mock investor,Mock portfolio,XS2034925375,7506255,EUR
Mock investor,Mock portfolio,NO0010882343,22115444,NOK
Mock investor,Mock portfolio,NO0010882368,457079644,NOK
Mock investor,Mock portfolio,NO0010886054,590110797,NOK
Mock investor,Mock portfolio,NO0010877327,51264271,NOK
Mock investor,Mock portfolio,NO0010887136,50322537,NOK
Mock investor,Mock portfolio,NO0010887078,451933855,NOK
Mock investor,Mock portfolio,NO0010951544,215097575,NOK
Mock investor,Mock portfolio,NO0010907876,112073254,SEK
Mock investor,Mock portfolio,DK0030472618,7387340,EUR
Mock investor,Mock portfolio,NO0010920648,200379993,NOK
Mock investor,Mock portfolio,SE0015657903,5090420,EUR
Mock investor,Mock portfolio,DK0030470919,2869600,EUR
Mock investor,Mock portfolio,NO0010998560,60096990,NOK
Mock investor,Mock portfolio,NO0010924707,50171583,NOK
Mock investor,Mock portfolio,NO0010952872,384099563,NOK
Mock investor,Mock portfolio,XS2077655624,60114073,SEK
Mock investor,Mock portfolio,NO0010923352,61095973,NOK
Mock investor,Mock portfolio,NO0011044067,131121065,NOK
Mock investor,Mock portfolio,SE0016274054,75902912,SEK
Mock investor,Mock portfolio,SE0015961065,109738512,SEK
Mock investor,Mock portfolio,NO0011036162,15859961,USD
Mock investor,Mock portfolio,NO0011086928,300090300,NOK
Mock investor,Mock portfolio,SE0016844617,5860818,EUR
Mock investor,Mock portfolio,SE0016274260,150450742,SEK
Mock investor,Mock portfolio,NO0011095499,240462696,NOK
Mock investor,Mock portfolio,NO0011096554,20025033,NOK
Mock investor,Mock portfolio,NO0011146383,159929952,NOK
Mock investor,Mock portfolio,XS2267891385,40471181,SEK
Mock investor,Mock portfolio,NO0011157323,71887493,NOK
Mock investor,Mock portfolio,NO0011008997,103119312,NOK
Mock investor,Mock portfolio,DK0010287234,118731268,DKK
Mock investor,Mock portfolio,SE0000106205,103207336,SEK
Mock investor,Mock portfolio,DK0060634707,81361078,DKK
Mock investor,Mock portfolio,DK0060738599,62873473,DKK
Mock investor,Mock portfolio,DK0010272202,362022130,DKK
Mock investor,Mock portfolio,SE0015810247,175229367,SEK
Mock investor,Mock portfolio,SE0000242455,384129935,SEK
Mock investor,Mock portfolio,SE0000107203,43486903,SEK
Mock investor,Mock portfolio,NO0003096208,2232182928,NOK
Mock investor,Mock portfolio,NO0003055501,6529686538,NOK
Mock investor,Mock portfolio,NO0010063308,9147656549,NOK
Mock investor,Mock portfolio,DK0010274414,140979559,DKK
Mock investor,Mock portfolio,FI0009005987,33863759,EUR
Mock investor,Mock portfolio,NO0003078107,1790195774,NOK
Mock investor,Mock portfolio,NO0010582521,4590121310,NOK
Mock investor,Mock portfolio,SE0000106270,344062313,SEK
Mock investor,Mock portfolio,DK0010272632,615238992,DKK
Mock investor,Mock portfolio,NO0010360266,570544893,NOK
Mock investor,Mock portfolio,NO0010851603,172584000,NOK
Mock investor,Mock portfolio,SE0016101844,29324142,SEK
Mock investor,Mock portfolio,NO0011016040,226333311,NOK
Mock investor,Mock portfolio,DK0015998017,37707533,DKK
Mock investor,Mock portfolio,XS1190624038,15916442,EUR
Mock investor,Mock portfolio,NO0010572282,111687056,NOK
Mock investor,Mock portfolio,XS1768718576,194143779,SEK
Mock investor,Mock portfolio,NO0010799612,354550181,NOK
Mock investor,Mock portfolio,NO0010797970,231877708,NOK
Mock investor,Mock portfolio,NO0010782337,50181511,NOK
Mock investor,Mock portfolio,NO0010766512,182459288,NOK
Mock investor,Mock portfolio,NO0010720790,12832544,NOK
Mock investor,Mock portfolio,NO0010770019,736548195,NOK
Mock investor,Mock portfolio,NO0010720378,103524234,NOK
Mock investor,Mock portfolio,US85771PAK84,156652417,USD
Mock investor,Mock portfolio,XS1781811143,5169841,EUR
Mock investor,Mock portfolio,NO0010826415,64460657,NOK
Mock investor,Mock portfolio,NO0010820723,130665816,NOK
Mock investor,Mock portfolio,NO0010816218,100793369,NOK
Mock investor,Mock portfolio,NO0010814130,161204064,NOK
Mock investor,Mock portfolio,NO0010819543,93655859,NOK
Mock investor,Mock portfolio,NO0010809460,40405209,NOK
Mock investor,Mock portfolio,NO0010851702,140362481,SEK
Mock investor,Mock portfolio,NO0010850142,227478553,NOK
Mock investor,Mock portfolio,NO0010830342,22478021,NOK
Mock investor,Mock portfolio,NO0010830698,30237417,NOK
Mock investor,Mock portfolio,NO0010846025,98027121,NOK
Mock investor,Mock portfolio,SE0011643170,26027138,SEK
Mock investor,Mock portfolio,NO0010844079,4595097979,NOK
Mock investor,Mock portfolio,XS1753808333,57409012,SEK
Mock investor,Mock portfolio,NO0010790983,25125975,NOK
Mock investor,Mock portfolio,NO0010868474,181909520,NOK
Mock investor,Mock portfolio,NO0010866635,20062183,NOK
Mock investor,Mock portfolio,NO0010872385,119255049,NOK
Mock investor,Mock portfolio,NO0010872344,264601249,NOK
Mock investor,Mock portfolio,US29446MAC64,48191938,USD
Mock investor,Mock portfolio,NO0010869530,100378584,NOK
Mock investor,Mock portfolio,NO0010862048,100187140,NOK
Mock investor,Mock portfolio,NO0010860893,24212229,NOK
Mock investor,Mock portfolio,NO0010847122,50195915,NOK
Mock investor,Mock portfolio,NO0010853195,201116453,NOK
Mock investor,Mock portfolio,NO0010802606,20275935,NOK
Mock investor,Mock portfolio,NO0010831530,32700214,NOK
Mock investor,Mock portfolio,NO0010871452,150598455,NOK
Mock investor,Mock portfolio,NO0010875164,653061948,NOK
Mock investor,Mock portfolio,NO0010876170,301462017,NOK
Mock investor,Mock portfolio,NO0010877574,78667929,NOK
Mock investor,Mock portfolio,USR0139KAB63,3235673,USD
Mock investor,Mock portfolio,NO0010874530,121999792,NOK
Mock investor,Mock portfolio,XS1820036389,85799638,SEK
Mock investor,Mock portfolio,US00973RAF01,5390788,USD
Mock investor,Mock portfolio,SE0013359494,150358146,SEK
Mock investor,Mock portfolio,NO0010872948,452891960,NOK
Mock investor,Mock portfolio,NO0010875065,15145311,NOK
Mock investor,Mock portfolio,XS2075280995,55359850,USD
Mock investor,Mock portfolio,DK0030452263,7826923,EUR
Mock investor,Mock portfolio,NO0010873409,25131331,NOK
Mock investor,Mock portfolio,SE0014479366,12091658,EUR
Mock investor,Mock portfolio,NO0010886328,10080753,USD
Mock investor,Mock portfolio,US984851AG07,7274565,USD
Mock investor,Mock portfolio,NO0010895154,50427823,NOK
Mock investor,Mock portfolio,NO0010930522,3371465616,NOK
Mock investor,Mock portfolio,NO0010960370,129767912,NOK
Mock investor,Mock portfolio,DK0030486675,136215138,SEK
Mock investor,Mock portfolio,NO0010961055,50132302,NOK
Mock investor,Mock portfolio,NO0010893282,220460849,NOK
Mock investor,Mock portfolio,NO0010923220,86857944,NOK
Mock investor,Mock portfolio,NO0010964224,99957359,NOK
Mock investor,Mock portfolio,NO0010907470,1536629388,NOK
Mock investor,Mock portfolio,NO0010918048,31433992,NOK
Mock investor,Mock portfolio,NO0011079121,74599095,NOK
Mock investor,Mock portfolio,NO0011170045,18021553,NOK
Mock investor,Mock portfolio,NO0011146359,500373633,NOK
Mock investor,Mock portfolio,SE0013883071,150556300,SEK
Mock investor,Mock portfolio,NO0010597883,210050127,NOK
Mock investor,Mock portfolio,NO0010715139,2403919928,NOK
Mock investor,Mock portfolio,SE0007691613,73961207,SEK
Mock investor,Mock portfolio,BMG850801025,222297059,NOK
Mock investor,Mock portfolio,DK0010181759,430294320,DKK
Mock investor,Mock portfolio,SE0015961909,719993624,SEK
Mock investor,Mock portfolio,SE0011166974,103023690,SEK
Mock investor,Mock portfolio,FI0009013429,8248,EUR
Mock investor,Mock portfolio,SE0015811955,993443550,SEK
Mock investor,Mock portfolio,SE0014960373,84915333,SEK
Mock investor,Mock portfolio,SE0000115420,293494513,SEK
Mock investor,Mock portfolio,FI0009005318,8309682,EUR
Mock investor,Mock portfolio,DK0060448595,291631172,DKK
Mock investor,Mock portfolio,NO0003079709,440628709,NOK
Mock investor,Mock portfolio,FI4000008719,5661,EUR
Mock investor,Mock portfolio,NO0010096985,28619808374,NOK
Mock investor,Mock portfolio,SE0000455057,192196918,SEK
Mock investor,Mock portfolio,NO0010657505,2151299658,NOK
Mock investor,Mock portfolio,BMG396372051,647277667,NOK
Mock investor,Mock portfolio,NO0010736879,3218065983,NOK
Mock investor,Mock portfolio,BMG173841013,543972379,NOK
Mock investor,Mock portfolio,SE0012116390,68756099,SEK
Mock investor,Mock portfolio,NO0010863285,32006063,NOK
Mock investor,Mock portfolio,XS1684785774,10081110,EUR
Mock investor,Mock portfolio,NO0010809635,176043914,NOK
Mock investor,Mock portfolio,NO0010770548,328359983,NOK
Mock investor,Mock portfolio,NO0010805765,11320145,USD
Mock investor,Mock portfolio,XS1224958501,5177049,EUR
Mock investor,Mock portfolio,NO0010814502,113463840,NOK
Mock investor,Mock portfolio,XS1678974525,6537360,EUR
Mock investor,Mock portfolio,NO0010805997,201385989,NOK
Mock investor,Mock portfolio,XS1293571425,22628775,EUR
Mock investor,Mock portfolio,US656531AJ97,6743647,USD
Mock investor,Mock portfolio,NO0010775430,50195964,NOK
Mock investor,Mock portfolio,NO0010810088,30286950,NOK
Mock investor,Mock portfolio,NO0010819568,20098373,NOK
Mock investor,Mock portfolio,NO0010823206,18374963,NOK
Mock investor,Mock portfolio,NO0010806672,101223012,NOK
Mock investor,Mock portfolio,NO0010814155,100891322,NOK
Mock investor,Mock portfolio,XS1956028168,20371392,EUR
Mock investor,Mock portfolio,NO0010851058,25080610,NOK
Mock investor,Mock portfolio,NO0010790660,77428984,NOK
Mock investor,Mock portfolio,NO0010830649,75593542,NOK
Mock investor,Mock portfolio,NO0010821127,30677022,NOK
Mock investor,Mock portfolio,NO0010868771,100527293,NOK
Mock investor,Mock portfolio,NO0010868045,261062770,NOK
Mock investor,Mock portfolio,NO0010866205,25448029,USD
Mock investor,Mock portfolio,NO0010864606,160829822,NOK
Mock investor,Mock portfolio,NO0010864937,201157833,NOK
Mock investor,Mock portfolio,NO0010866734,202224151,NOK
Mock investor,Mock portfolio,NO0010861636,100775643,NOK
Mock investor,Mock portfolio,NO0010861677,25250366,NOK
Mock investor,Mock portfolio,NO0010869019,108395011,NOK
Mock investor,Mock portfolio,NO0010858426,15415663,NOK
Mock investor,Mock portfolio,NO0010853286,100381219,NOK
Mock investor,Mock portfolio,NO0010841190,39497679,NOK
Mock investor,Mock portfolio,SE0012013126,34587928,SEK
Mock investor,Mock portfolio,NO0010852692,150879480,NOK
Mock investor,Mock portfolio,NO0010849813,51587040,NOK
Mock investor,Mock portfolio,NO0010866965,50253640,NOK
Mock investor,Mock portfolio,NO0010792492,28324141,NOK
Mock investor,Mock portfolio,NO0010871478,150225473,NOK
Mock investor,Mock portfolio,NO0010886922,92955579,NOK
Mock investor,Mock portfolio,XS2156510021,10400133,EUR
Mock investor,Mock portfolio,NO0010882558,858138176,NOK
Mock investor,Mock portfolio,NO0010875230,9807601415,NOK
Mock investor,Mock portfolio,NO0010874688,164819255,NOK
Mock investor,Mock portfolio,NO0010874548,3876009,EUR
Mock investor,Mock portfolio,NO0010872625,156286667,NOK
Mock investor,Mock portfolio,FI4000415153,9734004,EUR
Mock investor,Mock portfolio,NO0010874472,226950759,NOK
Mock investor,Mock portfolio,NO0010881238,57989261,NOK
Mock investor,Mock portfolio,NO0010881501,410296333,NOK
Mock investor,Mock portfolio,US29446MAH51,208945100,USD
Mock investor,Mock portfolio,NO0010891484,60385428,NOK
Mock investor,Mock portfolio,NO0010885338,20237200,NOK
Mock investor,Mock portfolio,NO0010894348,255935042,NOK
Mock investor,Mock portfolio,NO0010899164,100769343,NOK
Mock investor,Mock portfolio,NO0010907769,71204432,NOK
Mock investor,Mock portfolio,NO0010931793,89877739,NOK
Mock investor,Mock portfolio,NO0010904782,97706623,NOK
Mock investor,Mock portfolio,NO0010935430,120679585,NOK
Mock investor,Mock portfolio,NO0010989163,100451670,NOK
Mock investor,Mock portfolio,NO0010940489,334008795,NOK
Mock investor,Mock portfolio,NO0010893696,385674436,NOK
Mock investor,Mock portfolio,SE0013104122,24564256,SEK
Mock investor,Mock portfolio,NO0010892904,15096716,NOK
Mock investor,Mock portfolio,NO0010894199,415777745,NOK
Mock investor,Mock portfolio,NO0011094625,523325304,NOK
Mock investor,Mock portfolio,NO0011151151,200096049,NOK
Mock investor,Mock portfolio,NO0011087587,199789604,NOK
Mock investor,Mock portfolio,NO0011130148,8229556,EUR
Mock investor,Mock portfolio,XS2412258522,18110034,EUR
Mock investor,Mock portfolio,XS2421386942,202161889,SEK
Mock investor,Mock portfolio,FI0009000459,8097779,EUR
Mock investor,Mock portfolio,FI0009007132,34495082,EUR
Mock investor,Mock portfolio,SE0000163628,82136817,SEK
Mock investor,Mock portfolio,FI0009005870,6813516,EUR
Mock investor,Mock portfolio,SE0000108847,65355216,SEK
Mock investor,Mock portfolio,SE0011205194,83054517,SEK
Mock investor,Mock portfolio,NO0005668905,7958519681,NOK
Mock investor,Mock portfolio,SE0005190238,157384906,SEK
Mock investor,Mock portfolio,DK0060636678,338774674,DKK
Mock investor,Mock portfolio,FI4000440664,4838553,EUR
Mock investor,Mock portfolio,NO0010161896,19588302186,NOK
Mock investor,Mock portfolio,SE0000148884,600540217,SEK
Mock investor,Mock portfolio,SE0016589188,23870406,SEK
Mock investor,Mock portfolio,SE0000695876,227859320,SEK
Mock investor,Mock portfolio,NO0010571698,71454537,NOK
Mock investor,Mock portfolio,NO0010815673,522274770,NOK
Mock investor,Mock portfolio,NO0010844038,3484062547,NOK
Mock investor,Mock portfolio,NO0010790603,226637280,NOK
Mock investor,Mock portfolio,XS1435774903,3538267,EUR
Mock investor,Mock portfolio,NO0010806292,191252022,NOK
Mock investor,Mock portfolio,NO0010797491,24313803,NOK
Mock investor,Mock portfolio,NO0010806458,75283250,NOK
Mock investor,Mock portfolio,NO0010786494,90286366,NOK
Mock investor,Mock portfolio,NO0010751837,103524979,NOK
Mock investor,Mock portfolio,NO0010764459,102779272,NOK
Mock investor,Mock portfolio,XS1333139746,4891000,EUR
Mock investor,Mock portfolio,NO0010675119,100765901,NOK
Mock investor,Mock portfolio,XS1582205040,4678313,EUR
Mock investor,Mock portfolio,XS1482736185,6138337,EUR
Mock investor,Mock portfolio,NO0010705536,451983770,NOK
Mock investor,Mock portfolio,DK0030336003,68350685,DKK
Mock investor,Mock portfolio,NO0010826852,15737674,USD
Mock investor,Mock portfolio,NO0010820962,38880309,NOK
Mock investor,Mock portfolio,NO0010823982,80148550,NOK
Mock investor,Mock portfolio,NO0010822380,301574507,NOK
Mock investor,Mock portfolio,XS1989819583,7946264,GBP
Mock investor,Mock portfolio,NO0010851322,20063707,NOK
Mock investor,Mock portfolio,SE0012455111,99361592,SEK
Mock investor,Mock portfolio,NO0010819683,77818898,NOK
Mock investor,Mock portfolio,NO0010826696,20230034,NOK
Mock investor,Mock portfolio,XS1952947122,50114355,NOK
Mock investor,Mock portfolio,NO0010741531,60679727,NOK
Mock investor,Mock portfolio,NO0010818545,35227154,NOK
Mock investor,Mock portfolio,NO0010835994,40177688,NOK
Mock investor,Mock portfolio,NO0010844061,50212073,NOK
Mock investor,Mock portfolio,NO0010841232,201820604,NOK
Mock investor,Mock portfolio,NO0010831290,50345973,NOK
Mock investor,Mock portfolio,NO0010831381,70503583,NOK
Mock investor,Mock portfolio,NO0010830672,111107023,NOK
Mock investor,Mock portfolio,DK0009923807,319402142,DKK
Mock investor,Mock portfolio,NO0010846231,158188853,NOK
Mock investor,Mock portfolio,XS1819572394,100219111,SEK
Mock investor,Mock portfolio,NO0010841810,151496875,NOK
Mock investor,Mock portfolio,XS1958655745,4604397,EUR
Mock investor,Mock portfolio,SE0012675908,82801493,SEK
Mock investor,Mock portfolio,NO0010871122,100816940,NOK
Mock investor,Mock portfolio,NO0010860299,62348785,NOK
Mock investor,Mock portfolio,NO0010870967,226814888,NOK
Mock investor,Mock portfolio,XS1634532748,10108533,EUR
Mock investor,Mock portfolio,XS1584880352,12688688,USD
Mock investor,Mock portfolio,FI4000391529,20311200,EUR
Mock investor,Mock portfolio,NO0010869670,74506974,NOK
Mock investor,Mock portfolio,NO0010861594,4232619,USD
Mock investor,Mock portfolio,NO0010861768,90299475,NOK
Mock investor,Mock portfolio,NO0010868631,628102262,NOK
Mock investor,Mock portfolio,NO0010866189,234813376,NOK
Mock investor,Mock portfolio,NO0010866064,340073303,NOK
Mock investor,Mock portfolio,XS2013618421,13169111,EUR
Mock investor,Mock portfolio,NO0010858681,50461750,NOK
Mock investor,Mock portfolio,NO0010867369,60251120,NOK
Mock investor,Mock portfolio,NO0010864341,60215634,NOK
Mock investor,Mock portfolio,NO0010852619,25237018,NOK
Mock investor,Mock portfolio,NO0010832553,23561058,NOK
Mock investor,Mock portfolio,NO0010849490,135897242,NOK
Mock investor,Mock portfolio,NO0010841034,149245015,NOK
Mock investor,Mock portfolio,NO0010861362,160620044,NOK
Mock investor,Mock portfolio,NO0010881048,791025411,NOK
Mock investor,Mock portfolio,XS2187707976,45099894,SEK
Mock investor,Mock portfolio,NO0010886658,101657477,NOK
Mock investor,Mock portfolio,NO0010874894,41762293,NOK
Mock investor,Mock portfolio,NO0010883341,209660509,NOK
Mock investor,Mock portfolio,NO0010874886,201477600,NOK
Mock investor,Mock portfolio,XS2117452156,49650589,EUR
Mock investor,Mock portfolio,NO0010874050,9732929,EUR
Mock investor,Mock portfolio,NO0010876352,76566927,NOK
Mock investor,Mock portfolio,NO0010874225,100346893,NOK
Mock investor,Mock portfolio,US85858EAA10,1577275,USD
Mock investor,Mock portfolio,NO0010878960,93693562,NOK
Mock investor,Mock portfolio,NO0010884968,80895376,NOK
Mock investor,Mock portfolio,NO0010873805,990120943,NOK
Mock investor,Mock portfolio,NO0010885007,99985500,NOK
Mock investor,Mock portfolio,XS2181907663,52211044,SEK
Mock investor,Mock portfolio,NO0010891286,401797827,NOK
Mock investor,Mock portfolio,NO0010895519,45410556,NOK
Mock investor,Mock portfolio,XS2301127119,7146307,EUR
Mock investor,Mock portfolio,NO0010915127,251628139,NOK
Mock investor,Mock portfolio,NO0010923378,53985764,NOK
Mock investor,Mock portfolio,NO0010980683,307732947,NOK
Mock investor,Mock portfolio,SE0013104395,44238040,SEK
Mock investor,Mock portfolio,NO0010993009,9974774,NOK
Mock investor,Mock portfolio,SE0013102258,104123818,SEK
Mock investor,Mock portfolio,XS2341269970,25019288,EUR
Mock investor,Mock portfolio,XS2314267449,27538982,EUR
Mock investor,Mock portfolio,NO0010911506,21521137,EUR
Mock investor,Mock portfolio,NO0011082109,160182837,NOK
Mock investor,Mock portfolio,NO0011033003,200458240,NOK
Mock investor,Mock portfolio,NO0011095481,49988977,NOK
